Date,Open,High,Low,Close,Volume,Adj Close
2012-10-19,70.620003,70.900002,69.610001,69.879997,9572400,63.246298
2012-10-18,70.129997,70.910004,70.080002,70.760002,8081400,64.042764
2012-10-17,70.230003,70.93,69.949997,70.099998,9153200,63.445414
2012-10-16,70.50,70.889999,70.239998,70.300003,5802400,63.626433
2012-10-15,70.040001,70.389999,69.75,70.339996,4700700,63.662629
2012-10-12,70.099998,70.669998,69.940002,70.050003,6158600,63.400165
2012-10-11,70.75,70.839996,69.82,69.82,5258200,63.191996
2012-10-10,71.18,71.370003,70.089996,70.290001,5150900,63.61738
2012-10-09,71.190002,71.470001,71.080002,71.110001,4673200,64.359537
2012-10-08,71.00,71.410004,70.860001,71.190002,3023600,64.431944
2012-10-05,71.110001,71.389999,70.900002,71.099998,5491700,64.350485
2012-10-04,70.779999,71.059998,70.699997,70.870003,4630500,64.142322
2012-10-03,70.779999,70.959999,70.489998,70.699997,4276000,63.988455
2012-10-02,70.849998,71.059998,70.25,70.620003,4219000,63.916055
2012-10-01,70.699997,71.230003,70.529999,70.650002,4794000,63.943206
2012-09-28,70.620003,70.800003,70.349998,70.769997,5021800,64.05181
2012-09-27,70.480003,70.839996,70.279999,70.639999,3373400,63.934153
2012-09-26,70.629997,70.989998,70.410004,70.419998,3758200,63.735037
2012-09-25,70.940002,71.029999,70.260002,70.349998,5642400,63.671682
2012-09-24,70.57,70.870003,70.410004,70.699997,4526800,63.988455
2012-09-21,71.50,71.50,70.470001,70.550003,8268300,63.8527
2012-09-20,70.790001,71.580002,70.760002,71.239998,4790100,64.477194
2012-09-19,70.839996,71.18,70.50,70.849998,4902500,64.124217
2012-09-18,70.389999,70.910004,70.32,70.730003,4725400,64.015613
2012-09-17,70.440002,70.860001,70.220001,70.389999,6596600,63.707886
2012-09-14,70.910004,71.029999,70.260002,70.459999,7448100,63.77124
2012-09-13,70.269997,71.07,70.00,70.879997,8461200,64.151368
2012-09-12,71.519997,71.720001,69.959999,70.059998,10485400,63.409211
2012-09-11,71.779999,71.980003,71.459999,71.580002,4270400,64.784921
2012-09-10,72.00,72.089996,71.760002,71.839996,3953300,65.020235
2012-09-07,72.150002,72.50,72.00,72.099998,4609200,65.255555
2012-09-06,71.860001,72.339996,71.82,72.150002,5226400,65.300811
2012-09-05,71.849998,72.089996,71.360001,71.540001,5277300,64.748718
